PC1,PC2,PC3,PC4,PC5,PC6,tree_label,display_PCx_oriented,display_PCy_oriented
-1.5322483098231785,0.07746073578511992,-0.15064448675214975,0.0896609311833901,-0.022177579016367587,0.030651755582876774,cissopis_leverianus,0.0896609311833901,-0.15064448675214975
0.5333844525144972,-0.07351146367365607,-0.25477130573683904,0.04094062035019748,-0.2359664505139069,0.07932394144145447,stephanophorus_diadematus,0.04094062035019748,-0.25477130573683904
-0.6527698115081707,0.11506281414393923,-0.28118893561032876,-0.5033212246087018,-0.21538965687929254,0.11726569179482071,chlorochrysa_calliparaea,-0.5033212246087018,-0.28118893561032876
-1.671188785687974,1.0716738505518402,-0.33905867404093737,-0.4369586773902864,-0.09037906736368509,0.0312977145081003,chlorochrysa_nitidissima,-0.4369586773902864,-0.33905867404093737
-2.02100486627848,1.445286504821198,-0.3834654250103241,-0.3624541000503612,-0.045452957050822404,0.06819025290875187,chlorochrysa_phoenicotis,-0.3624541000503612,-0.3834654250103241
0.6906740970746484,0.1709568206785272,0.4144919869377836,-1.096895732669452,0.03278783737748045,0.031658285037648254,anisognathus_igniventris,-1.096895732669452,0.4144919869377836
-0.029337553966827443,0.32419146986819203,-0.2405970642158077,-0.9882601272702153,-0.03901893352114582,0.05594257297795909,anisognathus_lacrymosus,-0.9882601272702153,-0.2405970642158077
-0.2255360897128053,-0.2779120216217109,0.5757526552394264,-0.8684713423038056,-9.074316374681428e-4,-0.0681017346193599,anisognathus_melanogenys,-0.8684713423038056,0.5757526552394264
-3.3751874181094994,2.5142845351258885,-0.5831719725254932,0.004812250258303173,-0.24745815444669061,0.15917230940026386,anisognathus_notabilis,0.004812250258303173,-0.5831719725254932
-0.4916157603684259,0.17271351718692265,-0.19536860931212802,-0.6729761447369952,-0.09773128992225266,0.06364499325512149,anisognathus_somptuosus,-0.6729761447369952,-0.19536860931212802
0.6434365541589266,0.6054067261507399,0.2301846055535729,-1.4937969015996653,-0.044643417345949205,0.10629333887853536,cnemathraupis_aureodorsalis,-1.4937969015996653,0.2301846055535729
