species_original,species_clean,tree_label,display_PCx_oriented,display_PCy_oriented,mahalanobis_d2_to_projected_root_uncertainty,inside_50_projected_root_ellipse,inside_80_projected_root_ellipse,inside_95_projected_root_ellipse,closest_projected_root_ellipse_level
Furnarius torridus,furnarius torridus,furnarius_torridus,0.0023509444180889634,-0.16559361365578595,0.003130508335050046,TRUE,TRUE,TRUE,50%
Penelope jacucaca,penelope jacucaca,penelope_jacucaca,0.01956329427538113,-0.22315857187684432,0.0031325606843024783,TRUE,TRUE,TRUE,50%
Chaetura cinereiventris,chaetura cinereiventris,chaetura_cinereiventris,0.085119045715373,-0.18864099343441212,0.003145623383936604,TRUE,TRUE,TRUE,50%
Ploceus albinucha,ploceus albinucha,ploceus_albinucha,0.0538177527438793,-0.22347229978428299,0.0031933287712323814,TRUE,TRUE,TRUE,50%
Larus schistisagus,larus schistisagus,larus_schistisagus,0.0132729812924675,-0.1538179401616875,0.003302213903379399,TRUE,TRUE,TRUE,50%
Ninox theomacha,ninox theomacha,ninox_theomacha,0.0033826594682790628,-0.1619994833540178,0.003354730869883924,TRUE,TRUE,TRUE,50%
Scleroptila gutturalis,scleroptila gutturalis,scleroptila_gutturalis,0.06765474419558083,-0.217924836663463,0.003410152328053843,TRUE,TRUE,TRUE,50%
Machaeropterus regulus,machaeropterus regulus,machaeropterus_regulus,-0.006951605031982824,-0.1759000418357045,0.003627285453297969,TRUE,TRUE,TRUE,50%
Erythrocercus holochlorus,erythrocercus holochlorus,erythrocercus_holochlorus,0.08721798021252353,-0.1707017835031746,0.0036507363262653055,TRUE,TRUE,TRUE,50%
Tachuris rubrigastra,tachuris rubrigastra,tachuris_rubrigastra,0.04897427394584798,-0.22793073948610354,0.0036798889339018114,TRUE,TRUE,TRUE,50%
Cisticola natalensis,cisticola natalensis,cisticola_natalensis,0.03341023241297206,-0.22946293905198156,0.003695729377303851,TRUE,TRUE,TRUE,50%
Forpus spengeli,forpus spengeli,forpus_spengeli,-0.009477114443086044,-0.18441819896163503,0.0036982105411746606,TRUE,TRUE,TRUE,50%
Automolus subulatus,automolus subulatus,automolus_subulatus,0.08961335805634886,-0.18206144566217866,0.0037211236403381083,TRUE,TRUE,TRUE,50%
Apaloderma narina,apaloderma narina,apaloderma_narina,0.0026505882480056283,-0.15925205844352625,0.0037391765190662287,TRUE,TRUE,TRUE,50%
Attila phoenicurus,attila phoenicurus,attila_phoenicurus,0.0052379159915255024,-0.21978556373830915,0.0037405485571054744,TRUE,TRUE,TRUE,50%
Glaucestrilda thomensis,glaucestrilda thomensis,glaucestrilda_thomensis,-0.010351072897957656,-0.18930292204565183,0.0037832027968487296,TRUE,TRUE,TRUE,50%
Gavia pacifica,gavia pacifica,gavia_pacifica,-0.008293185730860199,-0.17620712252905107,0.0038075263262927392,TRUE,TRUE,TRUE,50%
Tanygnathus gramineus,tanygnathus gramineus,tanygnathus_gramineus,0.03669355838219734,-0.230440609601412,0.003853739704601121,TRUE,TRUE,TRUE,50%
Batara cinerea,batara cinerea,batara_cinerea,-0.001470924477555362,-0.21448158328926673,0.0038605364061959735,TRUE,TRUE,TRUE,50%
Edolisoma schisticeps,edolisoma schisticeps,edolisoma_schisticeps,0.07285320991185057,-0.21865730068760847,0.004031367300293938,TRUE,TRUE,TRUE,50%
Agapornis roseicollis,agapornis roseicollis,agapornis_roseicollis,0.08347543513764631,-0.20801885470954615,0.004090079383308797,TRUE,TRUE,TRUE,50%
Orthotomus cinereiceps,orthotomus cinereiceps,orthotomus_cinereiceps,0.09192310212653064,-0.17667793335859308,0.004136776915132354,TRUE,TRUE,TRUE,50%
Thripadectes ignobilis,thripadectes ignobilis,thripadectes_ignobilis,0.0018210624651451943,-0.2203057849194884,0.004148772888340698,TRUE,TRUE,TRUE,50%
Lagonosticta rubricata,lagonosticta rubricata,lagonosticta_rubricata,0.006662386970386736,-0.22416233229773175,0.0041857579606628705,TRUE,TRUE,TRUE,50%
Meliphaga lewinii,meliphaga lewinii,meliphaga_lewinii,0.026888492782992476,-0.1404592340020662,0.004441302143952474,TRUE,TRUE,TRUE,50%
Topaza pyra,topaza pyra,topaza_pyra,0.08036574554134708,-0.15117084159301228,0.004461604842628945,TRUE,TRUE,TRUE,50%
Coracina schistacea,coracina schistacea,coracina_schistacea,0.09435562798817985,-0.18223527759721392,0.0044635200271255894,TRUE,TRUE,TRUE,50%
Ploceus tricolor,ploceus tricolor,ploceus_tricolor,0.06774453514225823,-0.22513340629608128,0.004475466402370185,TRUE,TRUE,TRUE,50%
