species,annual_mean_temperature,annual_precipitation,maximum_temperature_warmest_month,mean_temperature_coldest_quarter,mean_temperature_driest_quarter,minimum_temperature_coldest_month,precipitation_in_coldest_quarter,precipitation_of_coldest_quarter,precipitation_of_wettest_quarter,precipitation_wetest_month,temperature_annual_range,temperature_seasonality
Psophia viridis,248.187338,1994.627765,304.5759805,239.5519534,242.2641202,194.9806788,514.9730198,514.9730198,936.5710448,322.0387772,109.5956029,617.2617396
Psophodes cristatus,213.9184612,245.5210163,349.2913559,123.9130724,181.7171901,68.62441673,49.5502593,49.5502593,98.97486793,35.26644423,280.6689652,6109.284608
Psophodes nigrogularis,161.3689901,400.706662,267.7359836,110.232981,199.3900122,70.01412949,145.0362532,145.0362532,148.0850859,51.11878486,197.7340685,3745.460122
Psophodes occidentalis,225.9594349,256.7334832,357.3440501,138.5107178,203.2880864,79.8232325,60.79206772,60.79206772,124.6501843,44.57403317,277.5199506,5868.990648
Psophodes olivaceus,162.4499825,1075.651139,255.8591033,105.650982,149.7670188,67.04004387,196.6626136,196.6626136,445.6507966,153.2553346,188.8206073,3909.830223
Pteridophora alberti,154.9236695,3410.712541,187.156202,149.0984822,153.1974394,124.3728703,745.8276897,745.8276897,1116.609112,385.9594006,62.80294035,321.3036491
Pternistis adspersus,215.0146395,441.31972,322.6177088,151.5736313,160.8569466,77.2851538,1.645192031,1.645192031,303.5182579,106.4631162,245.3355053,3682.674161
Pternistis afer,218.3692662,1126.577687,299.3249036,191.9212548,199.8533634,137.3699856,154.4048764,154.4048764,620.9437552,219.6831064,161.9555844,1727.458091
Pternistis ahantensis,257.149274,1694.991379,319.8381913,240.7703319,259.8374036,208.1700986,605.4219924,605.4219924,851.9953001,302.1857359,111.668422,1144.621083
Pternistis bicalcaratus,266.8785125,1183.71211,361.6405783,240.4096758,258.3430999,182.1536433,423.4042862,423.4042862,745.3479572,263.4158375,179.4862834,2005.740467
Pternistis camerunensis,173.8806625,3449.84962,203.237588,162.6366123,178.6454886,151.9886547,1985.314254,1985.314254,1999.042161,735.1079234,51.32591725,761.3684921
Pternistis capensis,190.3042797,200.5822109,315.560995,125.4374246,186.4803793,62.81211898,64.6868272,64.6868272,94.11792148,33.34815105,252.7445792,4526.747281
Pternistis castaneicollis,184.9049552,1256.741199,257.9755965,169.9680995,177.5296956,116.3002962,321.8276397,321.8276397,617.2365845,213.2550604,141.6750202,1091.654894
Pternistis clappertoni,263.1181253,611.8981361,369.0962616,226.7549505,242.5077322,159.622134,209.0070894,209.0070894,473.0920316,166.6714765,209.4744689,2526.09186
Pternistis erckelii,161.6381394,1180.261474,244.6947476,141.1953408,151.369228,81.53618381,545.4761695,545.4761695,885.040636,305.4314158,163.1636318,1493.327699
Pternistis griseostriatus,219.9893823,955.2610172,290.9824623,200.05761,200.5218004,127.852901,1.218714798,1.218714798,621.7946788,247.6875225,163.1281068,1093.63934
Pternistis hartlaubi,212.9258241,443.8036852,315.764068,165.9942397,170.7573108,88.16058312,0.762435387,0.762435387,317.7476972,117.3888774,227.6048365,2709.213674
Pternistis harwoodi,185.8210342,1171.88167,269.0438833,168.4310911,174.7727387,105.326998,555.1189322,555.1189322,953.8411882,328.0264339,163.7258604,1441.153223
Pternistis hildebrandti,209.4116384,947.5303844,289.7464814,189.5909062,197.651017,137.2066431,150.7473857,150.7473857,521.0900993,188.170765,152.5390496,1392.197194
Pternistis icterorhynchus,244.3346071,1271.621312,327.95652,227.9240386,246.8555874,184.1796167,606.9709081,606.9709081,623.6114992,215.7223437,143.776131,1400.568254
Pternistis jacksoni,143.5934814,1292.761939,221.0282101,127.6503308,147.4184966,80.14170114,345.5352394,345.5352394,573.5208194,208.8193039,140.8908549,997.6626325
Pternistis leucoscepus,249.0352139,524.5641753,326.8832119,228.7067491,242.0259019,177.3937117,99.029669,99.029669,310.3775631,119.871994,149.489313,1417.881856
Pternistis natalensis,202.9870986,702.6320297,299.3765612,146.139362,153.9861484,80.58004116,15.99488408,15.99488408,437.710186,151.159083,218.7954101,3380.556144
Pternistis nobilis,151.2687556,1558.474276,207.868946,143.9288557,152.0715339,105.8457828,499.4404972,499.4404972,602.7409512,209.6084466,102.0240835,616.4480183
Pternistis ochropectus,237.0740076,226.5683839,343.3457875,193.2354906,279.3567803,145.3236824,51.7374558,51.7374558,124.9433709,47.79478612,198.2690167,3301.273355
Pternistis rufopictus,210.4460089,806.2513535,287.1474365,197.8201571,200.8823071,140.4682707,80.05843665,80.05843665,408.5341955,143.4032855,146.667479,920.3368593
