species_original,species_clean,tree_label,display_PCx_oriented,display_PCy_oriented,mahalanobis_d2_to_projected_root_uncertainty,inside_50_projected_root_ellipse,inside_80_projected_root_ellipse,inside_95_projected_root_ellipse,closest_projected_root_ellipse_level
Zenaida galapagoensis,zenaida galapagoensis,zenaida_galapagoensis,-0.22075654513880685,-0.1990023491537865,0.0246231436937703,TRUE,TRUE,TRUE,50%
Aramides saracura,aramides saracura,aramides_saracura,-0.45093569333081135,-0.2909034939326143,0.024737630525873678,TRUE,TRUE,TRUE,50%
Pseudonigrita arnaudi,pseudonigrita arnaudi,pseudonigrita_arnaudi,-0.4562201861005159,-0.26903844724044174,0.02650460445976203,TRUE,TRUE,TRUE,50%
Sporopipes frontalis,sporopipes frontalis,sporopipes_frontalis,-0.20662797613405257,-0.21350670507010489,0.026654078827533956,TRUE,TRUE,TRUE,50%
Euphonia chalybea,euphonia chalybea,euphonia_chalybea,-0.43212761773077096,-0.3428231534927295,0.026798826248078292,TRUE,TRUE,TRUE,50%
Certhidea olivacea,certhidea olivacea,certhidea_olivacea,-0.2376902831114246,-0.1731366158861922,0.027017004997318617,TRUE,TRUE,TRUE,50%
Melaenornis fischeri,melaenornis fischeri,melaenornis_fischeri,-0.3896980832560611,-0.16293332579822362,0.029150178249921107,TRUE,TRUE,TRUE,50%
Agapornis fischeri,agapornis fischeri,agapornis_fischeri,-0.22166526190485678,-0.3331591165723385,0.029454739397195426,TRUE,TRUE,TRUE,50%
Progne modesta,progne modesta,progne_modesta,-0.21594941487056904,-0.18490947740347136,0.029776854399387674,TRUE,TRUE,TRUE,50%
Circaetus cinereus,circaetus cinereus,circaetus_cinereus,-0.3027828861921692,-0.1419723370032739,0.030136071050083705,TRUE,TRUE,TRUE,50%
Ceblepyris caesius,ceblepyris caesius,ceblepyris_caesius,-0.22201726041974135,-0.3362849440107592,0.03029718254823616,TRUE,TRUE,TRUE,50%
Nyctidromus anthonyi,nyctidromus anthonyi,nyctidromus_anthonyi,-0.45337876376092834,-0.22469409898677611,0.030458262065665386,TRUE,TRUE,TRUE,50%
Phacellodomus ferrugineigula,phacellodomus ferrugineigula,phacellodomus_ferrugineigula,-0.4663982067676983,-0.2711049508282965,0.030810415257165172,TRUE,TRUE,TRUE,50%
Pseudospingus verticalis,pseudospingus verticalis,pseudospingus_verticalis,-0.31843594613649123,-0.38941925723700327,0.031018892709814717,TRUE,TRUE,TRUE,50%
Polemaetus bellicosus,polemaetus bellicosus,polemaetus_bellicosus,-0.46538042421505044,-0.308642573214765,0.032283180469278,TRUE,TRUE,TRUE,50%
Aquila spilogaster,aquila spilogaster,aquila_spilogaster,-0.19469057329787676,-0.20350645648304364,0.033116152005762414,TRUE,TRUE,TRUE,50%
Spinus spinescens,spinus spinescens,spinus_spinescens,-0.37960942351539145,-0.1482193284273258,0.0336116476695218,TRUE,TRUE,TRUE,50%
Merops hirundineus,merops hirundineus,merops_hirundineus,-0.36163858409154426,-0.14158017043652685,0.033662628137673865,TRUE,TRUE,TRUE,50%
Cisticola nana,cisticola nana,cisticola_nana,-0.21711485576658135,-0.16970656304043608,0.03414105799284885,TRUE,TRUE,TRUE,50%
Estrilda rhodopyga,estrilda rhodopyga,estrilda_rhodopyga,-0.2579978471356796,-0.3752558015306647,0.0342250955603388,TRUE,TRUE,TRUE,50%
Triclaria malachitacea,triclaria malachitacea,triclaria_malachitacea,-0.4089080645832911,-0.3817944411089901,0.034381155940817726,TRUE,TRUE,TRUE,50%
Dendropicos fuscescens,dendropicos fuscescens,dendropicos_fuscescens,-0.18840381623271865,-0.20925682505015544,0.034650607703530435,TRUE,TRUE,TRUE,50%
Oenanthe scotocerca,oenanthe scotocerca,oenanthe_scotocerca,-0.4742578365831709,-0.2921150981819263,0.03472753152340478,TRUE,TRUE,TRUE,50%
Rynchops niger,rynchops niger,rynchops_niger,-0.3804400795263352,-0.14577555160696687,0.034974398490832274,TRUE,TRUE,TRUE,50%
