x,y,level,level_probability
-2.2378605292019937,-1.6904600023511314,50%,0.5
-2.2073644027713177,-1.7366277111456332,50%,0.5
-2.1760523615438867,-1.7821386500983298,50%,0.5
-2.143938232035639,-1.8269727228597643,50%,0.5
-2.1110361949421135,-1.8711101319655368,50%,0.5
-2.077360778876662,-1.914531387578305,50%,0.5
-2.0429268539550174,-1.9572173160939474,50%,0.5
-2.0077496252290703,-1.9991490686080908,50%,0.5
-1.9718446259727462,-2.0403081292392518,50%,0.5
-1.9352277108229503,-2.0806763233049295,50%,0.5
-1.897915048778604,-2.120235825347036,50%,0.5
-1.8599231160608725,-2.1589691670031157,50%,0.5
-1.8212686888377274,-2.1968592447198794,50%,0.5
-1.7819688358160626,-2.233889327305659,50%,0.5
-1.7420409107046375,-2.270043063318423,50%,0.5
-1.701502544551164,-2.305304488286117,50%,0.5
-1.6603716379569344,-2.3396580317561253,50%,0.5
-1.6186663531724177,-2.373088524170744,50%,0.5
-1.5764051060773236,-2.4055812035656277,50%,0.5
-1.5336065580486662,-2.4371217220882633,50%,0.5
-1.4902896077204284,-2.4676961523335716,50%,0.5
-1.4464733826384504,-2.497290993493864,50%,0.5
-1.4021772308142526,-2.525893177320411,50%,0.5
-1.3574207121814932,-2.5534900738940207,50%,0.5
-1.3122235899588528,-2.5800694972020484,50%,0.5
-1.2666058219231542,-2.605619710519404,50%,0.5
-1.220587551596569,-2.630129431591154,50%,0.5
-1.1741890993518074,-2.65358783761445,50%,0.5
-1.1274309534392093,-2.675984570017574,50%,0.5
-1.0803337609397148,-2.6973097390339893,50%,0.5
-1.0329183186476913,-2.7175539280693872,50%,0.5
-0.9852055638876568,-2.7367081978597865,50%,0.5
-0.9372165652689434,-2.754764090418862,50%,0.5
-0.888972513382396,-2.771713632772754,50%,0.5
-0.8404947114432024,-2.787549340480708,50%,0.5
-0.7918045658839944,-2.8022642209399935,50%,0.5
-0.7429235769023645,-2.8158517764736417,50%,0.5
-0.6938733289669928,-2.828306007199633,50%,0.5
-0.6446754812865461,-2.83962141368028,50%,0.5
-0.5953517582455847,-2.8497929993506226,50%,0.5
-0.5459239398116836,-2.85881627272477,50%,0.5
-0.49641385191801385,-2.8666872493792166,50%,0.5
-0.4468433568256238,-2.8734024537122482,50%,0.5
-0.3972343434696782,-2.8789589204786727,50%,0.5
-0.3476087177939252,-2.883354196099186,50%,0.5
-0.29798839307764496,-2.8865863397438076,50%,0.5
-0.24839528025936297,-2.888653924188891,50%,0.5
-0.19885127826159643,-2.8895560364473516,50%,0.5
-0.14937826432090756,-2.8892922781718093,50%,0.5
-0.09999808432752982,-2.8878627658304965,50%,0.5
-0.05073254317884063,-2.8852681306558186,50%,0.5
-0.0016033951509278888,-2.881509518365627,50%,0.5
0.04736766570748058,-2.8765885886573006,50%,0.5
0.09615901515450109,-2.8705075144748675,50%,0.5
0.14474910830375054,-2.863268981049499,50%,0.5
0.1931164891379611,-2.8548761847137825,50%,0.5
0.24123979998335354,-2.8453328314903112,50%,0.5
0.2890977909405843,-2.8346431354552144,50%,0.5
0.3366693292681061,-2.8228118168773335,50%,0.5
0.383933408713786,-2.8098441001338856,50%,0.5
0.43086915879067866,-2.7957457114035305,50%,0.5
0.4774558539928456,-2.7805228761378444,50%,0.5
0.5236729229471545,-2.764182316312341,50%,0.5
0.5694999574970188,-2.746731247458234,50%,0.5
0.6149167217140651,-2.728177375476261,50%,0.5
0.6599031608337478,-2.7085288932339764,50%,0.5
0.7044394101109739,-2.687794476948012,50%,0.5
0.7485058035918082,-2.665983282352901,50%,0.5
0.7920828827974091,-2.643104940658166,50%,0.5
0.8351514053163442,-2.61916955429545,50%,0.5
0.8776923533014975,-2.5941876924575595,50%,0.5
0.9196869418678155,-2.5681703864314156,50%,0.5
0.9611166273871823,-2.5411291247269427,50%,0.5
1.0019631156767677,-2.513075848004066,50%,0.5
1.0422083700772173,-2.4840229438000536,50%,0.5
1.0818346194171382,-2.4539832410595315,50%,0.5
1.1208243658603467,-2.4229700044695757,50%,0.5
1.159160392632419,-2.3909969286024073,50%,0.5
1.196825771623136,-2.35807813186825,50%,0.5
1.2338038708614596,-2.3242281502810394,50%,0.5
1.2700783618597409,-2.28946193103973,50%,0.5
1.305633226823925,-2.253794825928028,50%,0.5
1.340452765726554,-2.217242584535481,50%,0.5
1.3745216032394574,-2.179821347302901,50%,0.5
1.4078246955230673,-2.1415476383951986,50%,0.5
1.4403473368693516,-2.1024383584047786,50%,0.5
1.472075166195441,-2.0625107768887143,50%,0.5
1.5029941733850791,-2.0217825247429957,50%,0.5
