species_original,species_clean,tree_label,PC1_thermal,PC2_precipitation,mahalanobis_d2,inside_50_core,inside_80_core,inside_95_core,closest_core_level
Euscarthmus fulviceps,euscarthmus fulviceps,euscarthmus_fulviceps,-0.4160946305452592,-0.1454059536118788,0.0027611629850461503,TRUE,TRUE,TRUE,50%
Crithagra reichenowi,crithagra reichenowi,crithagra_reichenowi,-0.25039312117416146,-0.25927384529281433,0.00296529021772167,TRUE,TRUE,TRUE,50%
Emberiza socotrana,emberiza socotrana,emberiza_socotrana,-0.43932169945837996,-0.15916364882690873,0.002974659405272597,TRUE,TRUE,TRUE,50%
Vidua macroura,vidua macroura,vidua_macroura,-0.2502117254650197,-0.24702449064780962,0.0030004233116632836,TRUE,TRUE,TRUE,50%
Phacellodomus ferrugineigula,phacellodomus ferrugineigula,phacellodomus_ferrugineigula,-0.4663982067676983,-0.2711049508282965,0.003021976957561621,TRUE,TRUE,TRUE,50%
Melaniparus thruppi,melaniparus thruppi,melaniparus_thruppi,-0.31843831948068974,-0.3682334969928111,0.003091218989849713,TRUE,TRUE,TRUE,50%
Anabacerthia amaurotis,anabacerthia amaurotis,anabacerthia_amaurotis,-0.4696564983161346,-0.21588107307299603,0.003128200246757589,TRUE,TRUE,TRUE,50%
Euphonia chalybea,euphonia chalybea,euphonia_chalybea,-0.43212761773077096,-0.3428231534927295,0.003287520993786248,TRUE,TRUE,TRUE,50%
Circaetus cinereus,circaetus cinereus,circaetus_cinereus,-0.3027828861921692,-0.1419723370032739,0.003310908269933288,TRUE,TRUE,TRUE,50%
Agapornis taranta,agapornis taranta,agapornis_taranta,-0.2432840041349356,-0.24982626589213114,0.0033800525686768167,TRUE,TRUE,TRUE,50%
Dendrocygna viduata,dendrocygna viduata,dendrocygna_viduata,-0.3481399988106255,-0.12066795662255267,0.003389058242836488,TRUE,TRUE,TRUE,50%
Geokichla guttata,geokichla guttata,geokichla_guttata,-0.459813902249213,-0.17291095017149785,0.0034229308144952046,TRUE,TRUE,TRUE,50%
Myiotheretes fumigatus,myiotheretes fumigatus,myiotheretes_fumigatus,-0.394811226690829,-0.12111602025703687,0.0034452133240294,TRUE,TRUE,TRUE,50%
Aramides ypecaha,aramides ypecaha,aramides_ypecaha,-0.2666930878948631,-0.17598553818940085,0.003456832632817262,TRUE,TRUE,TRUE,50%
Strix hylophila,strix hylophila,strix_hylophila,-0.47963742885681654,-0.257119661297143,0.003643638515768179,TRUE,TRUE,TRUE,50%
Eriocnemis cupreoventris,eriocnemis cupreoventris,eriocnemis_cupreoventris,-0.4778697834951153,-0.2697489531396671,0.003658673389678133,TRUE,TRUE,TRUE,50%
Cinnyris mediocris,cinnyris mediocris,cinnyris_mediocris,-0.26042251526245885,-0.17947939536908059,0.0036616638158430276,TRUE,TRUE,TRUE,50%
Polemaetus bellicosus,polemaetus bellicosus,polemaetus_bellicosus,-0.46538042421505044,-0.308642573214765,0.0037075171537615335,TRUE,TRUE,TRUE,50%
Myiarchus magnirostris,myiarchus magnirostris,myiarchus_magnirostris,-0.2563715390873303,-0.1841068074288223,0.003735291167021757,TRUE,TRUE,TRUE,50%
Mackenziaena leachii,mackenziaena leachii,mackenziaena_leachii,-0.47017667340209474,-0.1810777217093296,0.0037363830211064133,TRUE,TRUE,TRUE,50%
Ardea cocoi,ardea cocoi,ardea_cocoi,-0.4615128031215074,-0.1646856440414422,0.003741533051862078,TRUE,TRUE,TRUE,50%
Oenanthe scotocerca,oenanthe scotocerca,oenanthe_scotocerca,-0.4742578365831709,-0.2921150981819263,0.0038136879509201374,TRUE,TRUE,TRUE,50%
