species_original,species_clean,tree_label,PC1_thermal,PC2_precipitation,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Tangara velia,tangara velia,tangara_velia,2.646317491922917,-0.4312954806198354,-2.646317491922917,-0.26332129092031836,-0.3218802354869008,-0.4312954806198354,0.024725651303747674,-0.034100044091345365,0.02165200019258009,-0.008735337967133864,-0.013982507449971354,-0.0011149727761224524,8.894708565662692e-7,-3.6158778047853173e-16
Tangara chilensis,tangara chilensis,tangara_chilensis,2.4254735109664556,-0.19833753171699964,-2.4254735109664556,-0.17321224647829886,-0.2774697025786389,-0.19833753171699964,0.05531645825727012,-0.010551668381959582,0.07000292099499107,-0.020256160176663707,-0.016498121354342057,9.886124173518022e-4,6.560945153319027e-6,-1.8797659213844266e-16
Tangara cyanoventris,tangara cyanoventris,tangara_cyanoventris,-0.22059079042637353,0.6589301030306355,0.22059079042637353,0.9092698680220792,0.534653115242594,0.6589301030306355,0.04354685467587646,-0.055529808939631484,0.009002843448626096,0.0016216667133164776,-0.019033535936401988,7.782226451448252e-4,4.518313856024956e-7,5.244688464920203e-16
Tangara desmaresti,tangara desmaresti,tangara_desmaresti,-0.40972378384578584,0.48257684748205915,0.40972378384578584,0.3765536815278035,0.44540598933388936,0.48257684748205915,0.07299058429623002,-0.037917001607946144,0.040850279805318475,0.02090474300517446,-0.005216316906898995,0.008402789294940283,-1.0966330637980604e-5,2.686842245109999e-16
Tangara cyanocephala,tangara cyanocephala,tangara_cyanocephala,-0.36961604270285403,-0.23389591341958677,0.36961604270285403,0.07140647194164305,0.2881437093843718,-0.23389591341958677,0.22523396393685718,-0.02124596528817848,0.0598467437986377,0.05748472681688422,0.015504637972074149,0.012655037566478709,2.4277664965293246e-5,-1.136748716843401e-16
Tangara fastuosa,tangara fastuosa,tangara_fastuosa,1.8783482341052007,-0.7407038572576622,-1.8783482341052007,0.5369286075926684,-0.057401486703326475,-0.7407038572576622,-0.1705917194536931,-0.05477577040060337,-0.24708328758965456,0.04918950163435921,-0.059864203523643654,-0.011639403041112039,-4.138807206564744e-5,-6.507086648177434e-16
Tangara seledon,tangara seledon,tangara_seledon,-0.3247693192489871,-0.05927343955778964,0.3247693192489871,0.3006553242007234,0.30932515266705013,-0.05927343955778964,0.21936920371307286,-0.04809481046029907,0.05287204126447075,0.047924704382322846,0.009438639028505136,0.009975834979106351,1.993069142908273e-5,1.1730694450546462e-17
Tangara gyrola,tangara gyrola,tangara_gyrola,2.499496450255415,-0.38342316038596397,-2.499496450255415,-0.3824064662982468,-0.29311002849631496,-0.38342316038596397,-0.044281786473838486,-0.04084145953845133,0.04332436521571251,-0.012766034769233338,-0.014365217874443212,5.562278414607742e-4,2.157135471322319e-7,-4.444192483238367e-16
Tangara lavinia,tangara lavinia,tangara_lavinia,4.582701914952579,-0.4505158358789072,-4.582701914952579,-2.498699685931521,-1.2332299007646657,-0.4505158358789072,0.4240258068055076,0.06337634891868899,0.25534801155132303,-0.011011124022358156,0.01908607986502153,0.005259737355646257,3.5257976056803115e-5,-6.301367692125379e-16
Tangara dowii,tangara dowii,tangara_dowii,2.614362272718668,-0.10335358901202307,-2.614362272718668,-3.380583837279526,0.1967679062513962,-0.10335358901202307,-0.021689933169672083,0.1011993019797625,0.16062654243709182,-0.047600004672217186,0.010481303134435318,-0.0014438363907096567,-5.349634292865584e-6,-3.624336162042302e-16
Tangara fucosa,tangara fucosa,tangara_fucosa,3.6768460975706536,-1.0737765441152853,-3.6768460975706536,-3.64382215042715,-0.33344881798073017,-1.0737765441152853,-0.17147059543047163,-0.03058468261787791,0.036164711750744566,0.059002204453146634,-0.037581798506737624,0.004737196494949083,-1.894698047722442e-4,-1.5048042270103715e-15
Tangara nigroviridis,tangara nigroviridis,tangara_nigroviridis,0.4964179672603044,0.12205464761882452,-0.4964179672603044,-0.8675770594372756,1.0790765927104682,0.12205464761882452,0.018232916743426048,0.029860893056808665,0.1496258013070368,0.012933347150259103,0.003812680078945498,-0.002700895470691112,-1.4325746833194045e-6,3.903055631081631e-18
Tangara vassorii,tangara vassorii,tangara_vassorii,-0.13381765014333558,-0.24067881722911302,0.13381765014333558,-1.105832002532393,1.7165036206402648,-0.24067881722911302,-0.12708546294783357,0.013102841553996545,0.15081454327147867,-0.01139825835336876,0.011423368317479154,-0.005493113157654524,-1.6374771871299684e-5,-8.574280651385132e-17
Tangara labradorides,tangara labradorides,tangara_labradorides,0.7349012525416929,-0.30727453565791635,-0.7349012525416929,-1.104027833225284,1.1288457859048904,-0.30727453565791635,-0.03807419615787066,0.009868678028903793,0.1632316862925484,-0.018223378314879496,0.02012095234878206,-0.0043289034461547376,6.749163393346997e-6,-1.287851719442082e-16
Tangara rufigenis,tangara rufigenis,tangara_rufigenis,-0.22383194299072,-0.030187164162504963,0.22383194299072,1.0313556980179996,1.756826155354154,-0.030187164162504963,0.025678996796121675,-0.023172209670401307,-0.08523117424033527,-0.029559890992485825,-0.023824535286930806,0.003102772893247751,-3.296921223993867e-5,4.482814908014435e-16
Tangara cyanotis,tangara cyanotis,tangara_cyanotis,0.15509609650364067,-0.0864881183849744,-0.15509609650364067,-0.29806020386981585,1.081084127556215,-0.0864881183849744,0.04227360839428507,1.9927571968913913e-5,0.17454929001804687,0.02990792739580117,0.006863549696502231,-0.003617452993248608,1.0031626779012737e-5,-2.6428178682073394e-17
Bangsia aureocincta,bangsia aureocincta,bangsia_aureocincta,2.331574739642451,-1.1997642249086375,-2.331574739642451,-3.4451742191774524,0.6264689489171269,-1.1997642249086375,-0.1289914175494031,-0.05038385448914253,0.06478746726184902,0.050990651242985734,0.024976248787979983,-0.004088555077299572,8.475337103248084e-5,-1.4655222301243911e-15
Bangsia edwardsi,bangsia edwardsi,bangsia_edwardsi,4.1509147607474315,-0.5591895347326464,-4.1509147607474315,-3.6570547009033914,-0.7555177577099879,-0.5591895347326464,0.25132932612493963,0.07750137326839494,0.32306477530657096,0.01209116291686913,0.02017750603888466,0.008264559971345863,7.71467326135743e-6,-8.500955368619649e-16
Bangsia melanochlamys,bangsia melanochlamys,bangsia_melanochlamys,2.6604623415355784,-0.4893626458367098,-2.6604623415355784,-2.339743309395075,0.311935060996837,-0.4893626458367098,0.18149045928145252,0.02771348581500401,0.13296165563639303,0.01257828603439035,0.02121957809325746,0.005491481905772037,5.585475720605611e-5,-5.060751584202907e-16
Bangsia rothschildi,bangsia rothschildi,bangsia_rothschildi,5.735289018520734,-0.7706675255322404,-5.735289018520734,-4.024772342136709,-1.7587601093411644,-0.7706675255322404,0.619914892039689,0.09163778054712195,0.45795999065409115,0.005572321612481633,0.04872771516213849,0.011034050165161494,5.646649086884175e-5,-1.2158835724592124e-15
Bangsia arcaei,bangsia arcaei,bangsia_arcaei,3.206934619870007,-0.8318186570984207,-3.206934619870007,-1.8032742643278026,-0.32548926291153973,-0.8318186570984207,0.13534212015488079,-0.006880931567573326,0.08758932192726476,-0.00677382761022488,-0.013786316611970243,0.0030242353212685397,2.0745470365851678e-6,-8.117274292799796e-16
Bangsia flavovirens,bangsia flavovirens,bangsia_flavovirens,5.005449039842822,-0.17040025026003566,-5.005449039842822,-3.951015728643978,-1.2959157924907823,-0.17040025026003566,0.456823297139704,0.15081107096790122,0.40052588395360245,-0.02056486358225496,-7.464623029611835e-4,0.006701162768366816,1.3063000417807996e-4,-6.010637398347262e-16
Wetmorethraupis sterrhopteron,wetmorethraupis sterrhopteron,wetmorethraupis_sterrhopteron,1.027641864740811,-1.0848909946943708,-1.027641864740811,0.5265715458879402,0.42310083808603605,-1.0848909946943708,0.14150352376186512,-0.009588845590070763,0.16623825488797325,0.046552112695123236,-0.003426099006335323,-0.007891287456806706,-5.558575960889405e-5,-4.4342452884901184e-16
Paroaria gularis,paroaria gularis,paroaria_gularis,2.367899425934463,-0.3615603019278212,-2.367899425934463,0.06013371748817887,-0.30496734122077285,-0.3615603019278212,-0.0324599280635136,-0.05760925895318541,0.008689162028367144,-0.010804920095898635,-0.027737833562847262,-8.40611835296765e-4,9.626567983520928e-6,-3.0118645210589063e-16
Paroaria nigrogenis,paroaria nigrogenis,paroaria_nigrogenis,2.0434197418268725,-0.9213627534440805,-2.0434197418268725,0.8926417328602736,-0.3488829269864489,-0.9213627534440805,-0.2874543152331507,-0.12948619416100032,-0.14105529189325614,-0.01911596224344924,-0.04180526572487947,-0.0017483345302916587,-7.627702795910039e-6,-6.526213707130038e-16
Paroaria capitata,paroaria capitata,paroaria_capitata,-1.520599692814996,-0.09281825534003299,1.520599692814996,1.2675428490206626,-0.18894001553768075,-0.09281825534003299,0.28641067705966955,-0.21061628517403047,0.06869162775676156,0.03398882941151737,0.0038383005227601154,0.0013380900177253942,1.3782731439221834e-5,1.0124284071253368e-16
Paroaria baeri,paroaria baeri,paroaria_baeri,2.0884302961057,-0.7873484084132388,-2.0884302961057,0.916844330349735,-0.9540101970193301,-0.7873484084132388,-0.40257307221968414,-0.1929182185238054,0.010788075572737674,-0.08551984020776307,-0.061488124858040796,0.02301727080630224,-4.522087896779627e-5,-4.2371199887797195e-16
Paroaria coronata,paroaria coronata,paroaria_coronata,-2.2547748180074687,-0.2065643587688343,2.2547748180074687,1.3989802061005996,-0.09710816791874789,-0.2065643587688343,0.21946078310231742,-0.2620375784523135,0.011524701800421675,0.03390025381520904,-0.005843891037518515,-0.004962822826917322,-1.505506485986798e-6,1.0969085178174378e-16
